"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","136","Проверка текста на главной странице","chromium","2026-04-09","passed","2026-04-09","","ui.test.js","",""
"","6","Server logic check","","2026-04-09","passed","2026-04-09","","","",""
